window_idx_global,series_id,series_name,start_idx,state_id,recon_mae
244,0,clean_serie1,7320,1,0.104035124
245,0,clean_serie1,7350,1,0.087903805
246,0,clean_serie1,7380,0,0.07122644
247,0,clean_serie1,7410,0,0.055066604
248,0,clean_serie1,7440,0,0.055053946
249,0,clean_serie1,7470,0,0.056454163
250,0,clean_serie1,7500,0,0.058500066
251,0,clean_serie1,7530,1,0.06782035
252,0,clean_serie1,7560,1,0.0663664
253,0,clean_serie1,7590,1,0.073494196
254,0,clean_serie1,7620,1,0.08752837
255,0,clean_serie1,7650,1,0.085957006
256,0,clean_serie1,7680,1,0.08686401
257,0,clean_serie1,7710,1,0.07764848
258,0,clean_serie1,7740,1,0.06260165
259,0,clean_serie1,7770,1,0.06710864
260,0,clean_serie1,7800,1,0.07548186
261,0,clean_serie1,7830,1,0.08922565
262,0,clean_serie1,7860,1,0.09494116
263,0,clean_serie1,7890,1,0.08823094
264,0,clean_serie1,7920,1,0.07894673
265,0,clean_serie1,7950,1,0.0674022
266,0,clean_serie1,7980,1,0.059645794
267,0,clean_serie1,8010,1,0.053381246
268,0,clean_serie1,8040,1,0.056181304
269,0,clean_serie1,8070,1,0.063927166
270,0,clean_serie1,8100,1,0.07703236
271,0,clean_serie1,8130,1,0.1045959
272,0,clean_serie1,8160,1,0.12230186
273,0,clean_serie1,8190,1,0.115802966
274,0,clean_serie1,8220,1,0.10047452
275,0,clean_serie1,8250,0,0.0703254
276,0,clean_serie1,8280,0,0.047353085
277,0,clean_serie1,8310,0,0.04313054
278,0,clean_serie1,8340,0,0.04683168
279,0,clean_serie1,8370,0,0.05389011
280,0,clean_serie1,8400,0,0.06657528
281,0,clean_serie1,8430,1,0.072858855
282,0,clean_serie1,8460,1,0.06470154
283,0,clean_serie1,8490,0,0.0584172
284,0,clean_serie1,8520,0,0.04492747
285,0,clean_serie1,8550,0,0.038834102
286,0,clean_serie1,8580,0,0.038395055
287,0,clean_serie1,8610,0,0.03716038
288,0,clean_serie1,8640,0,0.038570333
289,0,clean_serie1,8670,0,0.03928316
290,0,clean_serie1,8700,0,0.042512532
291,0,clean_serie1,8730,0,0.04630997
292,0,clean_serie1,8760,0,0.04713517
293,0,clean_serie1,8790,0,0.047147118
294,0,clean_serie1,8820,0,0.04530388
295,0,clean_serie1,8850,0,0.043185875
296,0,clean_serie1,8880,0,0.043423403
297,0,clean_serie1,8910,0,0.043083463
298,0,clean_serie1,8940,0,0.04300427
299,0,clean_serie1,8970,0,0.04371088
300,0,clean_serie1,9000,0,0.045124583
